(89.0, 1.8, -9.0)
(91.3, -0.4, -9.0)
(92.9, 1.6, -9.0)
(92.6, 2.8, -9.0)
(92.0, 5.4, -9.0)
(96.6, 5.6, -9.0)
(101.3, 2.5, -9.0)
(102.5, 3.0, -9.0)
(5.2, 4.7, -9.0)
(6.2, 3.7, -9.0)
(10.4, 3.5, -9.0)
(14.9, 1.8, -9.0)
(20.2, 3.1, -9.0)
(19.3, 3.0, -9.0)
(6.3, 5.3, -9.0)
(10.4, 3.3, -9.0)
(15.5, 1.9, -9.0)
(18.9, 3.7, -9.0)
(22.7, 0.7, -9.0)
(25.7, 3.3, -9.0)
(25.0, 2.7, -9.0)
(29.6, 3.2, -9.0)
(34.0, 2.4, -9.0)
(37.3, 2.7, -9.0)
(37.4, 3.4, -9.0)
(6.5, 4.6, -9.0)
(7.4, 3.7, -9.0)
(11.6, 3.1, -9.0)
(15.9, 1.7, -9.0)
(19.7, 3.1, -9.0)
(19.0, 2.9, -9.0)
(24.4, 1.0, -9.0)
(25.8, 3.0, -9.0)
(24.4, 2.0, -9.0)
(24.7, 2.5, -9.0)
(29.7, 3.1, -9.0)
(34.8, 3.0, -9.0)
(6.4, 4.5, -9.0)
(5.6, 4.1, -9.0)
(10.3, 3.5, -9.0)
(11.3, 3.4, -9.0)
(18.8, 3.0, -9.0)
(19.7, 3.0, -9.0)
(25.6, 3.0, -9.0)
(30.1, 3.2, -9.0)
(34.1, 2.7, -9.0)
(37.9, 3.0, -9.0)
(42.1, 2.4, -9.0)
(47.0, 1.3, -9.0)
(48.8, 3.3, -9.0)
(53.5, 5.2, -9.0)
(56.6, 4.7, -9.0)
(58.4, 3.3, -9.0)
(62.4, 2.7, -9.0)
(66.2, 3.2, -9.0)
(69.1, 5.8, -9.0)
(72.2, 2.8, -9.0)
(76.3, 2.5, -9.0)
(78.7, 3.4, -9.0)
(80.0, 0.0, -9.0)
(5.5, 4.6, -9.0)
(6.4, 3.9, -9.0)
(10.3, 3.2, -9.0)
(15.9, 2.2, -9.0)
(19.6, 3.5, -9.0)
(25.6, 2.9, -9.0)
(29.2, 3.1, -9.0)
(34.6, 2.4, -9.0)
(37.3, 3.2, -9.0)
(37.5, 2.8, -9.0)
(41.2, 2.2, -9.0)
(46.4, 1.8, -9.0)
(49.7, 3.6, -9.0)
(53.3, 5.5, -9.0)
(56.6, 5.0, -9.0)
(57.5, 2.0, -9.0)
(61.8, 2.6, -9.0)
(66.1, 3.8, -9.0)
(66.4, 4.8, -9.0)
(69.7, 4.5, -9.0)
(4.7, 4.4, -9.0)
(6.7, 4.0, -9.0)
(11.1, 3.6, -9.0)
(15.4, 1.8, -9.0)
(19.3, 3.2, -9.0)
(25.6, 3.1, -9.0)
(30.1, 3.4, -9.0)
(34.5, 2.5, -9.0)
(37.7, 3.0, -9.0)
(42.4, 2.3, -9.0)
(46.5, 1.6, -9.0)
(49.4, 3.8, -9.0)
(53.2, 5.0, -9.0)
(56.8, 4.9, -9.0)
(57.7, 2.9, -9.0)
(61.7, 2.4, -9.0)
(66.2, 3.4, -9.0)
(69.5, 5.4, -9.0)
(73.1, 2.4, -9.0)
(75.8, 2.4, -9.0)
(78.5, 3.3, -9.0)
(81.7, 0.5, -9.0)
(84.9, 0.6, -9.0)
(85.4, 2.5, -9.0)
(88.9, 1.9, -9.0)
(90.7, -0.6, -9.0)
(93.9, 2.5, -9.0)
(92.3, 4.6, -9.0)
(91.7, 5.2, -9.0)
(96.5, 5.3, -9.0)
(96.4, 5.5, -9.0)
(101.5, 4.2, -9.0)
(102.5, 4.5, -9.0)
(5.6, 3.6, -9.0)
(6.2, 4.1, -9.0)
(11.0, 3.6, -9.0)
(15.1, 1.7, -9.0)
(20.0, 3.1, -9.0)
(20.7, 3.1, -9.0)
(25.6, 3.0, -9.0)
(29.4, 3.3, -9.0)
(34.3, 2.3, -9.0)
(36.8, 3.0, -9.0)
(34.1, 2.5, -9.0)
(41.4, 2.4, -9.0)
(5.0, 4.0, -9.0)
(6.4, 3.8, -9.0)
(10.2, 3.5, -9.0)
(15.9, 1.9, -9.0)
(20.6, 3.0, -9.0)
(26.0, 3.0, -9.0)
(30.3, 3.1, -9.0)
(34.9, 2.5, -9.0)
(38.2, 3.0, -9.0)
(41.9, 2.3, -9.0)
(46.9, 1.8, -9.0)
(49.9, 3.6, -9.0)
(53.2, 5.4, -9.0)
(56.6, 5.0, -9.0)
(58.4, 1.9, -9.0)
(61.9, 2.4, -9.0)
(66.2, 3.4, -9.0)
(69.3, 5.5, -9.0)
(73.1, 3.0, -9.0)
(76.5, 2.3, -9.0)
(79.4, 3.6, -9.0)
(81.6, 0.3, -9.0)
(84.5, 0.3, -9.0)
(86.3, 2.2, -9.0)
(89.2, 1.9, -9.0)
(90.3, -0.1, -9.0)
(92.9, 3.4, -9.0)
(91.8, 4.6, -9.0)
(92.6, 5.3, -9.0)
(96.9, 5.0, -9.0)
(102.7, 3.8, -9.0)
(4.6, 1.5, -9.0)
(6.5, 3.3, -9.0)
(10.7, 3.6, -9.0)
(15.9, 1.7, -9.0)
(20.0, 3.0, -9.0)
(19.7, 2.6, -9.0)
(25.7, 2.9, -9.0)
(30.1, 3.1, -9.0)
(34.4, 2.3, -9.0)
(37.5, 3.0, -9.0)
(40.6, 2.5, -9.0)
(41.5, 2.4, -9.0)
(41.7, 2.9, -9.0)
(46.1, 1.3, -9.0)
(50.2, 3.2, -9.0)
(53.1, 4.1, -9.0)
(53.4, 5.3, -9.0)
(56.3, 5.2, -9.0)
(58.4, 2.9, -9.0)
(62.0, 2.0, -9.0)
(66.1, 3.1, -9.0)
(69.5, 5.8, -9.0)
(73.0, 2.9, -9.0)
(72.8, 3.8, -9.0)
(76.2, 2.3, -9.0)
(79.4, 3.2, -9.0)
(81.1, 0.6, -9.0)
(84.3, 0.4, -9.0)
(86.0, 2.8, -9.0)
(88.9, 2.1, -9.0)
(90.0, 0.5, -9.0)
(92.0, 0.4, -9.0)
(93.6, 2.4, -9.0)
(92.7, 4.8, -9.0)
(96.2, 5.2, -9.0)
(97.0, 5.4, -9.0)
(96.7, 5.1, -9.0)
(97.1, 4.5, -9.0)
(98.7, 4.4, -9.0)
(99.9, 4.1, -9.0)
(101.0, 3.6, -9.0)
(101.6, 4.0, -9.0)
(102.1, 3.3, -9.0)
(3.0, 2.5, -9.0)
(5.4, 3.4, -9.0)
(10.8, 3.9, -9.0)
(16.1, 1.5, -9.0)
(20.4, 3.1, -9.0)
(25.4, 2.7, -9.0)
(30.0, 3.3, -9.0)
(34.2, 2.6, -9.0)
(37.1, 2.8, -9.0)
(41.2, 2.6, -9.0)
(43.8, 1.7, -9.0)
(45.9, 1.2, -9.0)
(50.0, 3.3, -9.0)
(51.1, 3.3, -9.0)
(52.9, 4.7, -9.0)
(52.7, 4.9, -9.0)
(56.7, 4.9, -9.0)
(58.0, 2.6, -9.0)
(61.4, 2.2, -9.0)
(65.4, 3.0, -9.0)
(69.2, 5.4, -9.0)
(72.6, 3.0, -9.0)
(72.7, 2.8, -9.0)
